Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2020-04-17,Birds of Prey (and the Fantabulous Emancipation of One Harley Quinn),2020,https://boxd.it/15D5nb,1.5,,,2020-04-09
2020-05-26,The Meyerowitz Stories (New and Selected),2017,https://boxd.it/1akYzt,4.5,,,2020-05-07
2020-07-20,Knives Out,2019,https://boxd.it/1g8C9N,4,,,2020-07-20
2020-07-21,Sicario,2015,https://boxd.it/1gbeDP,3.5,,,2020-07-20
2020-07-22,Wind River,2017,https://boxd.it/1giHDD,3.5,,,2020-07-21
2020-07-23,Lady Bird,2017,https://boxd.it/1gmkwR,5,,,2020-07-22
2020-07-23,Lion,2016,https://boxd.it/1gqVfV,3.5,,,2020-07-23
2020-07-24,Bad Education,2019,https://boxd.it/1gwLiR,3.5,,,2020-07-24
2020-07-25,First Cow,2019,https://boxd.it/1gCUVl,3,,,2020-07-24
2020-07-25,A Silent Voice: The Movie,2016,https://boxd.it/1gCUgd,4,,,2020-07-25
2020-08-03,Wildlife,2018,https://boxd.it/1hzmJt,4.5,,,2020-08-03
2020-08-04,System Crasher,2019,https://boxd.it/1hFrod,4,,,2020-08-04
2020-08-08,Palm Springs,2020,https://boxd.it/1i4dIj,3.5,,,2020-08-08
2020-08-11,Greener Grass,2019,https://boxd.it/1ilhTJ,4,,,2020-08-10
2020-08-11,Manchester by the Sea,2016,https://boxd.it/1iprvF,4.5,,,2020-08-11
2020-08-25,Mad World,2016,https://boxd.it/1jQjC7,3.5,,,2020-08-25
2020-08-28,While We're Young,2014,https://boxd.it/1k9eR5,3.5,,,2020-08-28
2020-09-04,Punch-Drunk Love,2002,https://boxd.it/1kSLWx,4.5,,,2020-09-03
2020-09-20,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,2006,https://boxd.it/1mvamz,4,,,2020-09-15
2020-10-06,Good Will Hunting,1997,https://boxd.it/1oaTJT,4,,,2020-10-05
2020-10-12,The Master,2012,https://boxd.it/1oO1df,4,,,2020-10-11
2020-10-12,Moonrise Kingdom,2012,https://boxd.it/1oTuzJ,4.5,,,2020-10-12
2020-10-13,The Peanut Butter Falcon,2019,https://boxd.it/1p0nwn,2.5,,,2020-10-13
2020-10-14,Heathers,1989,https://boxd.it/1p5SD5,3.5,,,2020-10-14
2020-10-15,Drive,2011,https://boxd.it/1paBQ7,4,,,2020-10-14
2020-11-23,Borat Subsequent Moviefilm,2020,https://boxd.it/1tkJWt,3.5,,,2020-10-23
2020-11-23,Good Time,2017,https://boxd.it/1tkJyr,3,,,2020-11-21
2020-12-07,Incendies,2010,https://boxd.it/1v04Uf,4.5,,,2020-12-07
2021-07-15,Black Widow,2021,https://boxd.it/1ZFCyz,2.5,,,2021-07-09
2022-01-13,Spider-Man: No Way Home,2021,https://boxd.it/2tqCkn,3,,,2022-01-05
2022-03-08,The Batman,2022,https://boxd.it/2DYq2J,4,,,2022-03-06
2022-04-21,Jujutsu Kaisen 0,2021,https://boxd.it/2M0TrJ,4,,,2022-03-18
2022-11-21,Black Panther: Wakanda Forever,2022,https://boxd.it/3s73Hn,2,,,2022-11-18
2023-04-01,Scott Pilgrim vs. the World,2010,https://boxd.it/43DZ0D,3,,,2023-04-01
2023-05-07,Armageddon Time,2022,https://boxd.it/4dqgVN,3,,,2023-05-06
2023-05-07,Dark Waters,2019,https://boxd.it/4dsL0R,3,,,2023-05-06
2023-05-07,Doctor Strange in the Multiverse of Madness,2022,https://boxd.it/4dvVm5,1,,,2023-05-06
2023-05-22,In Bruges,2008,https://boxd.it/4hiqZZ,3,,,2023-05-22
2023-05-23,Searching,2018,https://boxd.it/4hj9Z1,2.5,,,2023-05-22
2023-05-23,The Informant!,2009,https://boxd.it/4hkpOF,3.5,,,2023-05-23
2023-05-23,Abominable,2019,https://boxd.it/4hnYiZ,1,,,2023-05-23
2023-08-06,A Man Called Otto,2022,https://boxd.it/4EcGDl,3,,,2023-05-23
2023-06-05,Can You Ever Forgive Me?,2018,https://boxd.it/4kNNE5,3.5,,,2023-06-04
2023-06-14,The Hunt,2012,https://boxd.it/4nbacR,3.5,,,2023-06-13
2023-08-09,The Prestige,2006,https://boxd.it/4FlCuh,4,,,2023-08-08
2023-12-21,Taken,2008,https://boxd.it/5mnDPL,2.5,,,2023-12-19
2023-12-21,The Dark Knight,2008,https://boxd.it/5mnE0T,4.5,,,2023-12-19
2023-12-21,Fargo,1996,https://boxd.it/5mnErb,4,,,2023-12-19
2024-01-25,Carol,2015,https://boxd.it/5G7Y9z,4,,,2024-01-24
2024-01-26,Nomadland,2020,https://boxd.it/5Gz8tX,2,,,2024-01-25
2024-01-31,Columbus,2017,https://boxd.it/5JbjGH,3.5,,,2024-01-30
